grid,rho,tolerance,timer,run,time_s
64,10,1e-4,PrecorrectionNUFFT2,20,1.8368e-05
64,10,1e-4,PrecorrectionNUFFT2,21,1.8335e-05
64,10,1e-4,PrecorrectionNUFFT2,22,1.8495e-05
64,10,1e-4,PrecorrectionNUFFT2,23,1.8784e-05
64,10,1e-4,PrecorrectionNUFFT2,24,1.9039e-05
64,10,1e-4,FFTNUFFT2,0,0.003978519
64,10,1e-4,FFTNUFFT2,1,0.00175365
64,10,1e-4,FFTNUFFT2,2,0.001798033
64,10,1e-4,FFTNUFFT2,3,0.001740498
64,10,1e-4,FFTNUFFT2,4,0.001750482
64,10,1e-4,FFTNUFFT2,5,0.001788913
64,10,1e-4,FFTNUFFT2,6,0.001752754
64,10,1e-4,FFTNUFFT2,7,0.001719219
64,10,1e-4,FFTNUFFT2,8,0.001628982
64,10,1e-4,FFTNUFFT2,9,0.001727027
64,10,1e-4,FFTNUFFT2,10,0.001774321
64,10,1e-4,FFTNUFFT2,11,0.001733778
64,10,1e-4,FFTNUFFT2,12,0.001698516
64,10,1e-4,FFTNUFFT2,13,0.001701459
64,10,1e-4,FFTNUFFT2,14,0.001685683
64,10,1e-4,FFTNUFFT2,15,0.001662581
64,10,1e-4,FFTNUFFT2,16,0.001735379
64,10,1e-4,FFTNUFFT2,17,0.001704916
64,10,1e-4,FFTNUFFT2,18,0.001727795
64,10,1e-4,FFTNUFFT2,19,0.001695731
64,10,1e-4,FFTNUFFT2,20,0.00173301
64,10,1e-4,FFTNUFFT2,21,0.001675604
64,10,1e-4,FFTNUFFT2,22,0.001698644
64,10,1e-4,FFTNUFFT2,23,0.001714931
64,10,1e-4,FFTNUFFT2,24,0.001719027
64,10,1e-4,prunedIFFT,0,0.00396252
64,10,1e-4,prunedIFFT,1,0.001748723
64,10,1e-4,prunedIFFT,2,0.001793137
64,10,1e-4,prunedIFFT,3,0.001735602
64,10,1e-4,prunedIFFT,4,0.001745586
64,10,1e-4,prunedIFFT,5,0.001784049
64,10,1e-4,prunedIFFT,6,0.00174789
64,10,1e-4,prunedIFFT,7,0.001714323
64,10,1e-4,prunedIFFT,8,0.001624054
64,10,1e-4,prunedIFFT,9,0.001722099
64,10,1e-4,prunedIFFT,10,0.001769361
64,10,1e-4,prunedIFFT,11,0.001728883
64,10,1e-4,prunedIFFT,12,0.001693588
64,10,1e-4,prunedIFFT,13,0.001696563
64,10,1e-4,prunedIFFT,14,0.001680819
64,10,1e-4,prunedIFFT,15,0.001657653
64,10,1e-4,prunedIFFT,16,0.001730451
64,10,1e-4,prunedIFFT,17,0.00170002
64,10,1e-4,prunedIFFT,18,0.001722931
64,10,1e-4,prunedIFFT,19,0.001690836
64,10,1e-4,prunedIFFT,20,0.001728146
64,10,1e-4,prunedIFFT,21,0.001670804
64,10,1e-4,prunedIFFT,22,0.001693844
64,10,1e-4,prunedIFFT,23,0.001710099
64,10,1e-4,prunedIFFT,24,0.001714163
64,10,1e-4,subIFFTs,0,0.002429185
64,10,1e-4,subIFFTs,1,0.000855593
64,10,1e-4,subIFFTs,2,0.000822218
64,10,1e-4,subIFFTs,3,0.000806347
64,10,1e-4,subIFFTs,4,0.000860937
64,10,1e-4,subIFFTs,5,0.000811851
