time, Ex_field_energy, Ex_max_norm
1.0000000000e-01 nan -1.7976931349e+308
1.5000000000e-01 nan -1.7976931349e+308
2.0000000000e-01 nan -1.7976931349e+308
2.5000000000e-01 nan -1.7976931349e+308
3.0000000000e-01 nan -1.7976931349e+308
3.5000000000e-01 nan -1.7976931349e+308
4.0000000000e-01 nan -1.7976931349e+308
4.5000000000e-01 nan -1.7976931349e+308
5.0000000000e-01 nan -1.7976931349e+308
5.5000000000e-01 nan -1.7976931349e+308
6.0000000000e-01 nan -1.7976931349e+308
6.5000000000e-01 nan -1.7976931349e+308
7.0000000000e-01 nan -1.7976931349e+308
7.5000000000e-01 nan -1.7976931349e+308
8.0000000000e-01 nan -1.7976931349e+308
8.5000000000e-01 nan -1.7976931349e+308
9.0000000000e-01 nan -1.7976931349e+308
9.5000000000e-01 nan -1.7976931349e+308
1.0000000000e+00 nan -1.7976931349e+308
1.0500000000e+00 nan -1.7976931349e+308
1.1000000000e+00 nan -1.7976931349e+308
1.1500000000e+00 nan -1.7976931349e+308
1.2000000000e+00 nan -1.7976931349e+308
1.2500000000e+00 nan -1.7976931349e+308
1.3000000000e+00 nan -1.7976931349e+308
1.3500000000e+00 nan -1.7976931349e+308
1.4000000000e+00 nan -1.7976931349e+308
1.4500000000e+00 nan -1.7976931349e+308
1.5000000000e+00 nan -1.7976931349e+308
1.5500000000e+00 nan -1.7976931349e+308
1.6000000000e+00 nan -1.7976931349e+308
1.6500000000e+00 nan -1.7976931349e+308
1.7000000000e+00 nan -1.7976931349e+308
1.7500000000e+00 nan -1.7976931349e+308
1.8000000000e+00 nan -1.7976931349e+308
1.8500000000e+00 nan -1.7976931349e+308
1.9000000000e+00 nan -1.7976931349e+308
1.9500000000e+00 nan -1.7976931349e+308
2.0000000000e+00 nan -1.7976931349e+308
2.0500000000e+00 nan -1.7976931349e+308
2.1000000000e+00 nan -1.7976931349e+308
2.1500000000e+00 nan -1.7976931349e+308
2.2000000000e+00 nan -1.7976931349e+308
2.2500000000e+00 nan -1.7976931349e+308
2.3000000000e+00 nan -1.7976931349e+308
2.3500000000e+00 nan -1.7976931349e+308
2.4000000000e+00 nan -1.7976931349e+308
2.4500000000e+00 nan -1.7976931349e+308
2.5000000000e+00 nan -1.7976931349e+308
2.5500000000e+00 nan -1.7976931349e+308
2.6000000000e+00 nan -1.7976931349e+308
2.6500000000e+00 nan -1.7976931349e+308
2.7000000000e+00 nan -1.7976931349e+308
2.7500000000e+00 nan -1.7976931349e+308
2.8000000000e+00 nan -1.7976931349e+308
2.8500000000e+00 nan -1.7976931349e+308
2.9000000000e+00 nan -1.7976931349e+308
2.9500000000e+00 nan -1.7976931349e+308
3.0000000000e+00 nan -1.7976931349e+308
3.0500000000e+00 nan -1.7976931349e+308
3.1000000000e+00 nan -1.7976931349e+308
3.1500000000e+00 nan -1.7976931349e+308
3.2000000000e+00 nan -1.7976931349e+308
3.2500000000e+00 nan -1.7976931349e+308
3.3000000000e+00 nan -1.7976931349e+308
3.3500000000e+00 nan -1.7976931349e+308
3.4000000000e+00 nan -1.7976931349e+308
3.4500000000e+00 nan -1.7976931349e+308
3.5000000000e+00 nan -1.7976931349e+308
3.5500000000e+00 nan -1.7976931349e+308
3.6000000000e+00 nan -1.7976931349e+308
3.6500000000e+00 nan -1.7976931349e+308
3.7000000000e+00 nan -1.7976931349e+308
3.7500000000e+00 nan -1.7976931349e+308
3.8000000000e+00 nan -1.7976931349e+308
3.8500000000e+00 nan -1.7976931349e+308
3.9000000000e+00 nan -1.7976931349e+308
3.9500000000e+00 nan -1.7976931349e+308
4.0000000000e+00 nan -1.7976931349e+308
4.0500000000e+00 nan -1.7976931349e+308
4.1000000000e+00 nan -1.7976931349e+308
4.1500000000e+00 nan -1.7976931349e+308
4.2000000000e+00 nan -1.7976931349e+308
4.2500000000e+00 nan -1.7976931349e+308
4.3000000000e+00 nan -1.7976931349e+308
4.3500000000e+00 nan -1.7976931349e+308
4.4000000000e+00 nan -1.7976931349e+308
4.4500000000e+00 nan -1.7976931349e+308
4.5000000000e+00 nan -1.7976931349e+308
4.5500000000e+00 nan -1.7976931349e+308
4.6000000000e+00 nan -1.7976931349e+308
4.6500000000e+00 nan -1.7976931349e+308
4.7000000000e+00 nan -1.7976931349e+308
4.7500000000e+00 nan -1.7976931349e+308
4.8000000000e+00 nan -1.7976931349e+308
4.8500000000e+00 nan -1.7976931349e+308
4.9000000000e+00 nan -1.7976931349e+308
4.9500000000e+00 nan -1.7976931349e+308
5.0000000000e+00 nan -1.7976931349e+308
time, Ex_field_energy, Ex_max_norm
0.0000000000e+00 nan -1.7976931349e+308
5.0000000000e-02 nan -1.7976931349e+308
time, Ex_field_energy, Ex_max_norm
0.0000000000e+00 5.5851578117e+02 6.4287512262e+00
5.0000000000e-02 5.5214468287e+02 5.8920930788e+00
1.0000000000e-01 5.5482691315e+02 6.4858429174e+00
1.5000000000e-01 5.5093173009e+02 8.8911887883e+00
2.0000000000e-01 5.4964426256e+02 7.0536874685e+00
2.5000000000e-01 5.4768739518e+02 7.0295117918e+00
3.0000000000e-01 5.4611599266e+02 5.7662735952e+00
3.5000000000e-01 5.4645896064e+02 6.5750402634e+00
4.0000000000e-01 5.4421829436e+02 6.4173607758e+00
4.5000000000e-01 5.5022227814e+02 6.0999189326e+00
5.0000000000e-01 5.3532457938e+02 6.5370030312e+00
5.5000000000e-01 5.3678418743e+02 6.1835041413e+00
6.0000000000e-01 5.2989682924e+02 6.3155069425e+00
6.5000000000e-01 5.2836970218e+02 5.7328546904e+00
7.0000000000e-01 5.1980028532e+02 7.9117530294e+00
time, Ex_field_energy, Ex_max_norm
0.0000000000e+00 5.5855047718e+02 6.4288326101e+00
5.0000000000e-02 5.5753944927e+02 5.9103320476e+00
1.0000000000e-01 5.5481534391e+02 6.4855277881e+00
1.5000000000e-01 5.5128152105e+02 8.8988565913e+00
2.0000000000e-01 5.4958719989e+02 7.0468384501e+00
2.5000000000e-01 5.4765305036e+02 7.0302042059e+00
3.0000000000e-01 5.4604521175e+02 5.7673576598e+00
3.5000000000e-01 5.4640741973e+02 6.5769794996e+00
4.0000000000e-01 5.4408082682e+02 6.4210177312e+00
4.5000000000e-01 5.3840950664e+02 6.0235519020e+00
