time,residue,iterations
2.8,9.74831e-11,239
2.85,9.53577e-11,239
2.9,9.51467e-11,239
2.95,9.62058e-11,239
3,9.51689e-11,239
3.05,9.65596e-11,239
3.1,8.6611e-11,240
3.15,9.14226e-11,240
3.2,9.23747e-11,240
3.25,9.57007e-11,240
3.3,9.82665e-11,240
3.35,9.56264e-11,240
3.4,9.47516e-11,240
3.45,9.45441e-11,240
3.5,9.30769e-11,240
3.55,9.31169e-11,240
time,residue,iterations
0,4.09238e-07,205
0,4.4826e-07,195
0.05,3.80582e-07,196
0.1,3.82304e-07,196
0.15,4.50802e-07,195
0.2,4.45088e-07,195
0.25,4.46127e-07,195
0.3,4.47143e-07,195
0.35,4.49754e-07,195
0.4,4.5054e-07,195
0.45,3.85578e-07,196
0.5,4.55279e-07,195
0.55,3.8818e-07,196
0.6,3.9045e-07,196
0.65,3.92089e-07,196
0.7,3.91939e-07,196
0.75,3.97212e-07,196
0.8,3.98569e-07,196
0.85,3.97302e-07,196
0.9,3.95575e-07,196
0.95,3.90604e-07,196
1,3.83436e-07,196
1.05,4.44477e-07,195
1.1,4.35804e-07,195
1.15,4.22555e-07,195
1.2,4.16269e-07,195
1.25,4.03185e-07,195
1.3,3.95571e-07,195
1.35,3.91102e-07,195
1.4,3.9322e-07,195
1.45,3.99357e-07,195
1.5,4.12651e-07,195
1.55,4.28729e-07,195
1.6,4.37602e-07,195
1.65,4.47332e-07,195
1.7,3.87773e-07,196
1.75,3.85967e-07,196
1.8,4.51079e-07,195
1.85,4.46399e-07,195
1.9,4.43025e-07,195
1.95,4.43842e-07,195
2,4.41629e-07,195
2.05,4.43395e-07,195
2.1,4.39452e-07,195
2.15,4.40901e-07,195
2.2,4.35055e-07,195
2.25,4.27537e-07,195
2.3,4.27084e-07,195
2.35,4.21636e-07,195
2.4,4.1984e-07,195
2.45,4.13455e-07,195
2.5,4.11654e-07,195
2.55,4.09047e-07,195
2.6,4.01435e-07,195
2.65,4.0168e-07,195
2.7,4.00983e-07,195
2.75,4.00054e-07,195
2.8,4.02643e-07,195
2.85,4.08272e-07,195
2.9,4.24816e-07,195
2.95,4.30621e-07,195
3,4.39765e-07,195
3.05,3.82042e-07,196
3.1,3.84488e-07,196
3.15,3.92274e-07,196
3.2,3.98225e-07,196
3.25,4.00845e-07,196
3.3,4.00265e-07,196
3.35,3.99466e-07,196
3.4,3.93513e-07,196
3.45,3.89706e-07,196
3.5,3.82554e-07,196
3.55,3.8161e-07,196
3.6,4.4613e-07,195
3.65,4.43914e-07,195
3.7,4.46539e-07,195
3.75,4.4833e-07,195
3.8,3.85063e-07,196
3.85,3.86009e-07,196
3.9,3.89812e-07,196
3.95,3.87211e-07,196
4,3.85906e-07,196
4.05,3.86384e-07,196
4.1,3.8749e-07,196
4.15,3.85483e-07,196
4.2,3.89153e-07,196
4.25,3.87492e-07,196
4.3,3.87212e-07,196
4.35,3.89068e-07,196
4.4,3.90381e-07,196
4.45,3.92733e-07,196
4.5,3.95587e-07,196
4.55,3.99008e-07,196
4.6,3.97643e-07,196
4.65,4.00519e-07,196
4.7,3.97958e-07,196
4.75,3.95057e-07,196
4.8,3.91725e-07,196
4.85,3.90623e-07,196
4.9,3.92717e-07,196
4.95,3.94524e-07,196
time,residue,iterations
0,5.98704e-07,212
0,5.53031e-07,203
0.05,5.55277e-07,203
0.1,5.50873e-07,203
0.15,6.78991e-07,202
0.2,6.74051e-07,202
0.25,6.74559e-07,202
0.3,6.80967e-07,202
0.35,6.83061e-07,202
0.4,5.57435e-07,203
